t [s];Velocidad [km/h];;;;;
1117;49,55544881;;;;;
1118;49,96090875;;;;;
1119;49,98179727;;;;;
1120;49,79816293;;;;;
1121;49,31458661;;;;;
1122;48,528479;;;;;
1123;47,65444088;;;;;
1124;46,9243353;;;;;
1125;46,58446416;;;;;
1126;46,40078867;;;;;
1127;46,27887941;;;;;
1128;46,25997436;;;;;
1129;46,07147107;;;;;
1130;45,58834475;;;;;
1131;44,89711722;;;;;
1132;44,13431203;;;;;
1133;43,38810525;;;;;
1134;42,76487637;;;;;
1135;42,35112498;;;;;
1136;42,20952201;;;;;
1137;42,21664362;;;;;
1138;42,33595345;;;;;
1139;42,58355608;;;;;
1140;42,97211064;;;;;
1141;43,46310609;;;;;
1142;44,01456232;;;;;
1143;44,51761781;;;;;
